"state","unit","status","plant_type","renewable","time","generation","vomcost","variable_cost","capacity","fomcost","fixed_cost","total_cost","wholesale_cost"
"NC","bio_X","existing","bio","yes",2020,1.99962371403,5.28192450300804,10.561861491931,0.5892,203.342641192974,119.8094841909,130.371345682831,27.22135707
"NC","col_X1","existing","col","no",2020,21.8749917601864,7.39223523901809,161.70508494288,6.658,88.7844469159662,591.126847566503,752.831932509383,27.22135707
"NC","col_X2","existing","col","no",2020,9.36761600304,8.03266388677554,75.2469107728,4.4698,62.5864925285248,279.749104304,354.9960150768,27.22135707
"NC","col_X3","existing","col","no",2020,1.087714905,7.77760406116803,8.459815862521,0.4821,79.0285091457996,38.09964425919,46.559460121711,27.22135707
"NC","hyd_X","existing","hyd","yes",2020,6.1547134,0,0,1.8876,91.2335091071996,172.21237179075,172.21237179075,27.22135707
"NC","msw_X","existing","msw","no",2020,0.32492162998,0.0859806705257499,0.027936979614,0.2025,1.19017062222222,0.241009551,0.268946530614,27.22135707
"NC","ngcc_X1","existing","ngcc","no",2020,34.74762401,2.24906911591003,78.149808012145,5.6333,12.801335745247,72.1137646537,150.263572665845,27.22135707
"NC","ngcc_X3","existing","ngcc","no",2020,0.007447999999998,3.09887452764584,0.0230804174819,0.2458,38.1472219518722,9.3765871557702,9.3996675732521,27.22135707
"NC","ngtb_X1","existing","ngtb","no",2020,2.170191757,4.75954433994553,10.3291238936258,1.9407,11.0702291175195,21.48399364837,31.8131175419958,27.22135707
"NC","ngtb_X2","existing","ngtb","no",2020,3.192344474,4.78329110156792,15.2699129156237,4.0273,13.9199756954039,56.0599181181,71.3298310337237,27.22135707
"NC","ngtb_X3","existing","ngtb","no",2020,0.153264,4.77804402148026,0.73230213890815,1.9488,11.8829289040471,23.157451848207,23.8897539871151,27.22135707
"NC","nuc_X","existing","nuc","yes",2020,41.915605,2.55696031442228,107.17653854,5.3947,131.239238511873,707.99632,815.17285854,27.22135707
"NC","oth_X","existing","oth","no",2020,0.058594,0,0,0.0115,0,0,0,27.22135707
"NC","slr_X","existing","slr","yes",2020,7.42681487,0,0,4.4989,20.6915295998978,93.08912251698,93.08912251698,27.2216199945537
"NC","wnd_X","existing","wnd","yes",2020,0.523139,0,0,0.208,47.6538110144231,9.911992691,9.911992691,27.22135707
"ND","bio_X","existing","bio","yes",2020,0.000185,5.21143182702703,0.000964114888,0.0098,135.638077040816,1.329253155,1.330217269888,29.34733352
"ND","col_X1","existing","col","no",2020,8.416182007,6.24480711663053,52.5574332921714,1.3211,163.890083928097,216.515189877409,269.07262316958,29.34733352
"ND","col_X2","existing","col","no",2020,16.4701518874,8.77894842277652,144.59061393478,2.8133,132.627836448338,373.12189228011,517.71250621489,29.34733352
"ND","col_X3","existing","col","no",2020,0.49838100205,8.83832162622861,4.40485158852,0.1225,63.4710780644898,7.7752070629,12.18005865142,29.34733352
"ND","hyd_X","existing","hyd","yes",2020,3.179292,0,0,0.5834,92.6869600445663,54.07357249,54.07357249,29.34733352
